country,year,life_expectancy,forest_pct,urban_pct
Afghanistan,2023,66.035,1.85278199408184,25.4730529631167
Africa Eastern and Southern,2023,65.1462279163724,NA,37.7723012408349
Africa Western and Central,2023,58.8557398136649,NA,52.2829081872902
Albania,2023,79.602,28.7919708029197,58.2106086137857
Algeria,2023,76.261,0.830314224054683,74.732808364138
American Samoa,2023,72.852,85.2,81.3721542708222
Andorra,2023,84.041,34.0425531914894,88.8201609217082
Angola,2023,64.617,52.0912696719339,69.8515032220457
Antigua and Barbuda,2023,77.598,18.0134090909091,24.4500156687422
Arab World,2023,72.4446783578531,NA,59.569940800309
Argentina,2023,77.395,10.3212951412107,92.1945132257907
Armenia,2023,77.4658536585366,11.6183158247114,65.6956882008852
Aruba,2023,76.353,2.33333333333333,61.8351492675589
Australia,2023,83.0512195121951,17.4213145571644,87.4866955653765
Austria,2023,81.7926829268293,47.2402653902084,69.2265358276021
Azerbaijan,2023,74.429,14.1119540229885,58.5075350483702
"Bahamas, The",2023,74.552,50.9350649350649,81.3213799173676
Bahrain,2023,81.284,0.95,100
Bangladesh,2023,74.672,14.4899215263887,32.1578465036834
Barbados,2023,76.178,14.6511627906977,59.4235740235775
Belarus,2023,74.1837804878049,43.4080686559958,78.8146420666327
Belgium,2023,82.4,22.604446776415,87.551492636772
Belize,2023,73.566,54.5186321788689,41.9459437504976
Benin,2023,60.774,26.4734835047889,51.7457922964593
Bermuda,2023,82.309,18.5185185185185,100
Bhutan,2023,72.975,71.60513896172,41.7352457989939
Bolivia,2023,68.581,46.3457431920982,70.9151414044538
Bosnia and Herzegovina,2023,77.85,42.7326171875,51.5657239834305
Botswana,2023,69.163,26.2908263194114,67.0212655349864
Brazil,2023,75.848,58.9818729765235,87.6159710235763
British Virgin Islands,2023,77.276,24.1333333333333,55.6407774494219
Brunei Darussalam,2023,75.327,72.1062618595825,74.8199193881365
Bulgaria,2023,75.7560975609756,36.2196020633751,73.7322671584613
Burkina Faso,2023,61.092,22.172514619883,27.7872478365158
Burundi,2023,63.651,10.8894080996885,23.5534768372276
Cabo Verde,2023,76.059,11.5682382133995,75.9064245753376
Cambodia,2023,70.668,43.0619759800589,40.6290788072508
Cameroon,2023,63.7,42.6741130925938,55.1286878511388
Canada,2023,81.6263414634146,39.4617117321106,82.5250564408346
Caribbean small states,2023,73.1716450013098,NA,50.1020889305245
Cayman Islands,2023,80.358,52.4720833333333,100
Central African Republic,2023,57.408,35.6560403223217,43.6983692134165
Central Europe and the Baltics,2023,77.7580384683685,NA,61.69707902806
Chad,2023,55.069,3.16103105146125,26.3305395171046
Channel Islands,2023,81.1,NA,32.7554337975051
Chile,2023,81.167,25.0116461113584,88.8158617217972
China,2023,77.953,24.031938995825598,65.5301448035523
Colombia,2023,77.725,52.7661596214511,78.275571579544
Comoros,2023,66.777,16.9801182160129,33.1502180946901
"Congo, Dem. Rep.",2023,61.895,54.1898572594341,44.3754734892194
"Congo, Rep.",2023,65.772,64.1317715959004,63.6626757615625
Costa Rica,2023,80.799,60.3991382687035,78.8819393641702
Cote d'Ivoire,2023,61.944,7.85551603773585,53.4075201638704
Croatia,2023,78.4731707317073,34.785739814153,57.2431560672198
Cuba,2023,78.085,31.233140655106,77.1259872296321
Curacao,2023,76.8,0.157657657657658,91.4080929292235
Cyprus,2023,81.648,18.6655844155844,66.6739477522639
Czechia,2023,79.8268292682927,34.7623883740408,72.7352388396817
Denmark,2023,81.7536585365854,15.7815,88.552638542867
Djibouti,2023,65.987,0.260724762726488,72.8408245988921
Dominica,2023,71.132,63.8266666666667,73.1105011438027
Dominican Republic,2023,73.72,44.9887775472934,72.3577991823338
Early-demographic dividend,2023,71.7962449795855,NA,47.0167430983708
East Asia & Pacific,2023,76.6572021082574,NA,64.0244370902805
East Asia & Pacific (excluding high income),2023,75.8806830895266,NA,61.2276463501262
East Asia & Pacific (IDA & IBRD countries),2023,75.9085643603807,NA,61.1991011324118
Ecuador,2023,77.392,49.5450958286359,63.1307729554263
"Egypt, Arab Rep.",2023,71.633,0.0451855944547692,42.7098115041919
El Salvador,2023,72.099,27.5279922779923,74.6080675149903
Equatorial Guinea,2023,63.707,86.3935828877005,71.1290664883517
Eritrea,2023,68.624,8.63010013352237,34.696403503418
Estonia,2023,78.7926829268293,57.0652937046572,70.6770085523126
Eswatini,2023,64.123,29.1389534883721,25.8081878500755
Ethiopia,2023,67.315,14.9308975782695,23.0586471557617
Euro area,2023,82.2555207096815,NA,77.2759599495269
Europe & Central Asia,2023,78.3911328035275,NA,73.8432014952513
Europe & Central Asia (excluding high income),2023,74.7901887741185,NA,68.1621549417313
Europe & Central Asia (IDA & IBRD countries),2023,74.6977585417017,NA,68.9599237310861
European Union,2023,81.4249329538218,NA,74.8943502719612
Faroe Islands,2023,82.9521195121951,0.0583941605839416,39.1975270123645
Fiji,2023,67.316,63.4953475643131,58.6069049738768
Finland,2023,81.5853658536585,73.7235162521384,74.0062548602828
Fragile and conflict affected situations,2023,63.3499447771075,NA,45.7781084821062
France,2023,82.8317073170732,32.4764820484275,78.7804323126547
French Polynesia,2023,84.07,43.0596369922213,61.6967135028569
Gabon,2023,68.337,91.1823650405558,91.6375962797313
"Gambia, The",2023,65.86,22.2792391304348,63.8020182456108
Georgia,2023,74.496,40.6159159591308,60.7523077799724
